file,visual_kmeans_lables,id
602avenue-20251009231051-903719485753772,6,602avenue
602avenue-20251009094243-1224615499859600,2,602avenue
602avenue-20251016221606-2049334382302442,3,602avenue
602avenue-20251025114200-952039577351312,3,602avenue
602avenue-20251018235235-34002091412771350,3,602avenue
602avenue-20251021203659-973026438386525,7,602avenue
602avenue-20251022092532-790103797460776,3,602avenue
602avenue-20251021182133-1246665010753585,2,602avenue
602avenue-20251107144044-1125085326339984,3,602avenue
602avenue-20251101122217-784265324728259,7,602avenue
602avenue-20260115003533-1658920148612345,7,602avenue
602avenue-20251109020712-1648914449891960,7,602avenue
602avenue-20251109200135-714178585111970,7,602avenue
602avenue-20251116105010-934495962310284,3,602avenue
602avenue-20251111074812-1944015249534557,3,602avenue
602avenue-20251111074625-1223562819958735,3,602avenue
602avenue-20251111215701-4551112028449845,7,602avenue
602avenue-20251116073727-1863804610942042,2,602avenue
602avenue-20251221190238-1211844587598406,3,602avenue
602avenue-20251113224141-1651039129752044,3,602avenue
602avenue-20260119134356-808609148921006,3,602avenue
602avenue-20251125161958-1658403988481906,6,602avenue
602avenue-20251123101825-1445147247268775,6,602avenue
602avenue-20251128221356-961894563162870,7,602avenue
602avenue-20251128234900-889313887344869,3,602avenue
602avenue-20251204121217-34000951892853627,3,602avenue
602avenue-20251204110706-941200628346160,2,602avenue
602avenue-20251207202330-1282168300488185,3,602avenue
602avenue-20251216133625-1832989737411134,3,602avenue
602avenue-20251214230101-1460447632332219,7,602avenue
602avenue-20251219201939-789388173642977,7,602avenue
602avenue-20251224211316-1791840535556162,2,602avenue
602avenue-20251220234420-2798538153871484,3,602avenue
602avenue-20260116074456-1498690531588949,2,602avenue
602avenue-20251219140122-1243321024595615,3,602avenue
602avenue-20251222004914-760102910192256,3,602avenue
602avenue-20251221031811-1623095825510661,2,602avenue
602avenue-20251225215225-785117034638651,2,602avenue
602avenue-20251225233132-894848610003383,2,602avenue
602avenue-20251223172436-1577403436826512,2,602avenue
602avenue-20251230184158-1562343488323125,5,602avenue
602avenue-20251227093123-924603703611637,7,602avenue
602avenue-20251227152607-1247832960774728,2,602avenue
602avenue-20251228014345-1467337284905150,2,602avenue
