file,audio_kmeans_lables,id
2uncle987-20251224164013-25964264076526880,2,2uncle987
2uncle987-20251224232223-935339935513152,3,2uncle987
2uncle987-20251225020334-871748182300543,1,2uncle987
2uncle987-20251226013802-882634471191959,2,2uncle987
2uncle987-20251227224017-1409273524018586,0,2uncle987
2uncle987-20251228124314-4252000911755003,1,2uncle987
2uncle987-20251229232336-4480354758900128,1,2uncle987
2uncle987-20251230003533-1429458425637877,0,2uncle987
2uncle987-20260101215701-1458967585903507,3,2uncle987
2uncle987-20260105003018-911187931376624,0,2uncle987
6tan-20250109173328-756575627101521,1,6tan
6tan-20250114183527-1227964566208756,1,6tan
6tan-20250130050143-775300035600818,2,6tan
6tan-20250203153102-2796133080737409,3,6tan
6tan-20250317213804-1652311595929564,0,6tan
6tan-20250329213520-1242617811130788,2,6tan
6tan-20250502023320-1317632350391912,3,6tan
6tan-20250626114259-889727883911815,1,6tan
6tan-20250630065217-875583695228294,3,6tan
6tan-20250708110241-25421823907519753,2,6tan
6tan-20250708183755-2151704985575030,3,6tan
6tan-20250711102812-924522193334732,2,6tan
6tan-20250716134156-1423712392623955,2,6tan
6tan-20250718193420-1267515371932375,0,6tan
6tan-20250727210809-3938994553065106,0,6tan
6tan-20250731125234-889719916791134,1,6tan
6tan-20250801135428-1959614391256272,1,6tan
6tan-20250802204346-1684733832899863,2,6tan
6tan-20250803211331-1605851240425726,2,6tan
6tan-20250816114402-1495471088873074,1,6tan
6tan-20250819071306-1553874782337076,0,6tan
6tan-20250822161354-930825645948638,2,6tan
6tan-20250826191835-1271451198373199,2,6tan
6tan-20250902044255-1282842650320627,1,6tan
6tan-20250902121134-1192173199744883,0,6tan
6tan-20250902215218-1314242957389605,2,6tan
6tan-20250904075620-1201101518851553,1,6tan
6tan-20250906111118-735331926085357,1,6tan
6tan-20250907143817-876183345211176,3,6tan
6tan-20250916002104-1455895366118301,1,6tan
6tan-20250918190206-1411687423764353,1,6tan
6tan-20250920170153-25228624583478698,3,6tan
6tan-20250930095326-1375218407266580,1,6tan
6tan-20251025153002-1418919133192597,1,6tan
6tan-20251101114654-730481446587667,1,6tan
6tan-20251101225742-2072755733516201,1,6tan
6tan-20251120123115-875016388708304,2,6tan
6tan-20251203235735-1249949137077563,1,6tan
6tan-20251204032132-1802778357077732,1,6tan
6tan-20251207160114-1832345574139271,3,6tan
6tan-20251212185045-1187723599807077,1,6tan
