file,visual_kmeans_lables,id
1105ya-20251212035404-903658382380830,1,1105ya
1105ya-20251216013549-1945503152981989,1,1105ya
1105ya-20251228152249-899852382529237,1,1105ya
1105ya-20251231002302-1647560746410457,2,1105ya
1105ya-20260107210133-919314310627784,1,1105ya
1105ya-20260108065749-25902971159356733,1,1105ya
1105ya-20260109175625-1238366958224832,1,1105ya
1105ya-20260109175655-2901444280045006,2,1105ya
1105ya-20260109175755-786783353764646,2,1105ya
1105ya-20260109175818-857988380393777,1,1105ya
1105ya-20260115011453-1554238569115725,1,1105ya
1105ya-20260121145556-788785637587215,1,1105ya
1105ya-20260125190714-2095338547882007,1,1105ya
1105ya-20260125190728-26175467768717855,1,1105ya
1105ya-20260217025548-870457129087046,2,1105ya
1105ya-20260220195258-1659332422103881,1,1105ya
1105ya-20260222125532-2390647874682943,2,1105ya
1105ya-20260222125556-1228880172514368,1,1105ya
1105ya-20260222125631-908045185486738,2,1105ya
1_shiuan_0-20250210220127-1342837684338867,1,1_shiuan_0
1_shiuan_0-20250306112922-1616047336094765,0,1_shiuan_0
1_shiuan_0-20250306115638-1207448171158988,1,1_shiuan_0
1_shiuan_0-20250322232049-1465494418538272,1,1_shiuan_0
1_shiuan_0-20250421202629-2687315468296859,1,1_shiuan_0
1_shiuan_0-20250430032724-1440046200497385,2,1_shiuan_0
1_shiuan_0-20250501131804-1274924217894861,2,1_shiuan_0
1_shiuan_0-20250503204241-2427037127746822,5,1_shiuan_0
1_shiuan_0-20250508231430-919222237179634,1,1_shiuan_0
1_shiuan_0-20250514230335-1240091294259615,1,1_shiuan_0
1_shiuan_0-20250515134210-1720253395613999,1,1_shiuan_0
1_shiuan_0-20250524075657-885671970962180,1,1_shiuan_0
1_shiuan_0-20250528101132-1435838371557164,2,1_shiuan_0
1_shiuan_0-20250529221154-902884562460439,1,1_shiuan_0
1_shiuan_0-20250603191150-1462808622128281,2,1_shiuan_0
1_shiuan_0-20250611040451-1315058573837729,2,1_shiuan_0
1_shiuan_0-20250620142526-1239879777580553,1,1_shiuan_0
1_shiuan_0-20250627155722-1542291976855907,1,1_shiuan_0
1_shiuan_0-20250702001126-1224088496479821,1,1_shiuan_0
1_shiuan_0-20250709191133-1237298295176250,1,1_shiuan_0
1_shiuan_0-20250725095929-1381808073631882,1,1_shiuan_0
1_shiuan_0-20250725165653-940045021793485,1,1_shiuan_0
1_shiuan_0-20250726141315-26178128908542191,1,1_shiuan_0
1_shiuan_0-20250801232045-945531841465081,1,1_shiuan_0
1_shiuan_0-20250802182902-2796304210702098,1,1_shiuan_0
1_shiuan_0-20250803132829-926328520127472,5,1_shiuan_0
1_shiuan_0-20250804212136-25744984575173964,1,1_shiuan_0
1_shiuan_0-20250805015317-2174927429922802,5,1_shiuan_0
1_shiuan_0-20250806005335-1980206422872871,1,1_shiuan_0
1_shiuan_0-20250809025631-1450339566487222,1,1_shiuan_0
1_shiuan_0-20250823002135-1606243330709540,1,1_shiuan_0
1_shiuan_0-20250829114101-1436649558055583,2,1_shiuan_0
